Артикул,Наименование ,Бренд,ЧЗ,НДС,Цена с 01.01.2026,Цена с 01.02.2026,Цена с 01.03.2026,Цена с 01.04.2026,Цена с 01.05.2026,Цена с 01.06.2026,Цена с 01.07.2026,Цена с 01.08.2026,
SHOECOV-STD-BLU-WHT-500PR,Бахилы бело-синии евроблок,ЭЛС,,10%,"724,0","724,0","675,0","700,0","685,0","685,0","705,0","705,0",
SHOECOV-STD-BLK-950PR,Бахилы черные евроблок,ЭЛС,,10%,"912,0","912,0","912,0","940,5","703,0","865,0","893,0","893,0",
SHOECOV-STD-WHT-GRN-500PR,Бахилы бело-зеленые евроблок,ЭЛС,,10%,"725,0","725,0","675,0","700,0","700,0","700,0","705,0","705,0",
SHOECOV-STD-WHT-ORG-500PR,Бахилы бело-оранжевые евроблок,ЭЛС,,10%,"725,0","725,0","675,0","700,0","700,0","700,0","705,0","705,0",
SHOECOV-DBL-BLU-450PR,Бахилы синие двойные евроблок,ЭЛС,,10%,"716,0","716,0","693,0","720,0","720,0","720,0","720,0","720,0",
SHOECOV-DBL-WHT-BLU-450PR-S65,Бахилы Super 65 бел-син евроблок,ЭЛС,,10%,"752,0","752,0","738,0","765,0","765,0","765,0","765,0","765,0",
SHOECOV-DP-2EL-WHT-PUR-50PR,Бахилы бело-фиолетовые с двой подошвой 50 пар,ЭЛС,,10%,"76,0","76,0","70,0","72,5","70,0","70,0","72,5","72,5",
SHOECOV-DP-2EL-WHT-GRN-50PR,Бахилы бело-зеленые с двой подошвой 50 пар,ЭЛС,,10%,"76,0","76,0","70,0","72,5","70,0","70,0","72,5","72,5",
GLV-ELM-BLK-L,Перчатки эластомер черные 50 пар L,ЭЛС,ЧЗ,22%,"71,5","71,5","71,5","71,5","71,5","77,5","77,5","77,5",
GLV-ELM-BLK-M,Перчатки эластомер черные 50 пар M,ЭЛС,ЧЗ,22%,"71,5","71,5","71,5","71,5","71,5","77,5","77,5","77,5",
GLV-ELM-BLK-S,Перчатки эластомер черные 50 пар S,ЭЛС,ЧЗ,22%,"71,5","71,5","71,5","71,5","71,5","77,5","77,5","77,5",
GLV-ELM-PNK-50-L,Перчатки эластомер прозрачные 50 пар L,ЭЛС,ЧЗ,22%,"69,0","69,0","69,0","69,0","72,0","77,5","77,5","77,5",
GLV-ELM-PNK-50-M,Перчатки эластомер прозрачные 50 пар M,ЭЛС,ЧЗ,22%,"69,0","69,0","69,0","69,0","72,0","77,5","77,5","77,5",
GLV-ELM-PNK-50-S,Перчатки эластомер прозрачные 50 пар S,ЭЛС,ЧЗ,22%,"69,0","69,0","69,0","69,0","72,0","77,5","77,5","77,5",
GLV-ELM-BLU-L,Перчатки эластомер голубые 50 L,ЭЛС,ЧЗ,22%,"71,5","71,5","71,5","71,5","71,5","75,0","77,5","77,5",
GLV-ELM-BLU-M,Перчатки эластомер голубые 50 M,ЭЛС,без ЧЗ,22%,"71,5","71,5","71,5","71,5","71,5","75,0","77,5","77,5",
GLV-ELM-PNK-100-L,Перчатки эластомер прозрачные 100 пар L,ЭЛС,ЧЗ,22%,"129,0","129,0","129,0","129,0","138,0","138,0","138,0","138,0",
GLV-ELM-PNK-100-M,Перчатки эластомер прозрачные 100 пар M,ЭЛС,ЧЗ,22%,"129,0","129,0","129,0","129,0","138,0","138,0","138,0","138,0",
